127.0.0.1 - - [03/Jan/2016:15:43:43 +0700] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:41 +0700] "GET /NEWPROJECT/NEWPROJECT/Bootstrap/glyphicons.css HTTP/1.1" 200 52911
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:41 +0700] "GET /NEWPROJECT/NEWPROJECT/Bootstrap/dist/css/font-awesome.min.css HTTP/1.1" 200 28968
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:41 +0700] "GET /NEWPROJECT/NEWPROJECT/Bootstrap/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 136615
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:41 +0700] "GET /NEWPROJECT/NEWPROJECT/css/UpdateAddmin/stylenewaddmin.css HTTP/1.1" 200 1248
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:41 +0700] "GET /NEWPROJECT/NEWPROJECT/css/css.css HTTP/1.1" 200 4925
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:41 +0700] "GET /NEWPROJECT/NEWPROJECT/engine1/style.css HTTP/1.1" 200 11948
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:41 +0700] "GET /NEWPROJECT/NEWPROJECT/css/index/body_contenner.css HTTP/1.1" 200 942
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:41 +0700] "GET /NEWPROJECT/NEWPROJECT/Bootstrap/dist/js/jQuery-2.1.4.min.js HTTP/1.1" 200 84345
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:41 +0700] "GET /NEWPROJECT/NEWPROJECT/Bootstrap/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:41 +0700] "GET /NEWPROJECT/NEWPROJECT/Bootstrap/dist/js/app.min.js HTTP/1.1" 200 8745
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:41 +0700] "GET /NEWPROJECT/NEWPROJECT/engine1/wowslider.js HTTP/1.1" 200 27059
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:41 +0700] "GET /NEWPROJECT/NEWPROJECT/engine1/jquery.js HTTP/1.1" 200 95931
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:41 +0700] "GET /NEWPROJECT/NEWPROJECT/SpryAssets/SpryMenuBarHorizontal.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:41 +0700] "GET /NEWPROJECT/NEWPROJECT/SpryAssets/SpryMenuBar.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:41 +0700] "GET /NEWPROJECT/NEWPROJECT/SpryAssets/SpryAccordion.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:41 +0700] "GET /NEWPROJECT/NEWPROJECT/engine1/script.js HTTP/1.1" 200 7820
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:41 +0700] "GET /NEWPROJECT/NEWPROJECT/SpryAssets/SpryAccordion.js HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:42 +0700] "GET /NEWPROJECT/NEWPROJECT/img/logo/flower%20banner%201%20-%20Copy.jpg HTTP/1.1" 200 96818
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:42 +0700] "GET /NEWPROJECT/NEWPROJECT/data1/images/01.jpg HTTP/1.1" 200 103933
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:42 +0700] "GET /NEWPROJECT/NEWPROJECT/data1/images/02.jpg HTTP/1.1" 200 79296
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:42 +0700] "GET /NEWPROJECT/NEWPROJECT/data1/tooltips/02.jpg HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:42 +0700] "GET /NEWPROJECT/NEWPROJECT/data1/images/03.jpg HTTP/1.1" 200 94875
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:42 +0700] "GET /NEWPROJECT/NEWPROJECT/data1/images/04.jpg HTTP/1.1" 200 84699
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:42 +0700] "GET /NEWPROJECT/NEWPROJECT/data1/tooltips/03.jpg HTTP/1.1" 200 3776
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:42 +0700] "GET /NEWPROJECT/NEWPROJECT/data1/tooltips/04.jpg HTTP/1.1" 200 3529
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:42 +0700] "GET /NEWPROJECT/NEWPROJECT/img/TourKhuyenMai/bienNhaTrang.jpg HTTP/1.1" 200 71574
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:42 +0700] "GET /NEWPROJECT/NEWPROJECT/img/Camnangdulich/medium_ejz1446353394.jpg HTTP/1.1" 200 58252
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:42 +0700] "GET /NEWPROJECT/NEWPROJECT/img/Camnangdulich/medium_bru1446352638.jpg HTTP/1.1" 200 48277
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:42 +0700] "GET /NEWPROJECT/NEWPROJECT/img/Camnangdulich/medium_qum1446285595.jpg HTTP/1.1" 200 81562
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:42 +0700] "GET /NEWPROJECT/NEWPROJECT/img/Camnangdulich/medium_pxl1446283219.jpg HTTP/1.1" 200 81349
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:42 +0700] "GET /NEWPROJECT/NEWPROJECT/img/Camnangdulich/medium_pop1446262131.jpg HTTP/1.1" 200 80010
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:42 +0700] "GET /NEWPROJECT/NEWPROJECT/img/Camnangdulich/medium_mad1446114596.jpg HTTP/1.1" 200 86643
